Review,Actual Sentiments,Predicted Sentiments
easy competitive pricing easy booking fitting preferred location ,value for money positive ease of booking positive location positive , ease of booking positive value for money positive
price easy fitting ,garage service positive value for money positive , value for money positive
unfortunately rated star failed deliver tyres garage time meaning wasted time going twice shame previously great service ,delivery punctuality negative , delivery punctuality negative
appointment changed last minute disappointing ,late notice negative , change of date negative
excellent service straight forward honest great value money ,value for money positive , value for money positive
fast efficient service competitive price ,value for money positive , value for money positive
easy use website good communication ordered garage fitted tyres chosen time staff polite great service ,garage service positive , garage service positive
reasonable price discount ,discounts positive , value for money positive
easy order specific tyres online choose fitting station choice ,ease of booking positive , ease of booking positive
easy quick experience local friendly garage ,location positive garage service positive , location positive
happy tyres disappointed service time pm slot booked garage even start half past nearly hour got away usually takes mins ,wait time negative tyre quality positive length of fitting negative , length of fitting positive garage service positive wait time positive
excellent service simple decent value ,value for money positive , value for money positive
good service good price ,value for money positive , value for money positive
competitively priced easy arrange convenient book chosen garage time suit ,value for money positive ease of booking positive , ease of booking positive value for money positive
initially stated days supply special tyre managed find local dealer right tyre back road hours ,length of fitting negative value for money negative wait time positive , location positive value for money negative
ordered wednesday saturday fitting tyre arrive could fitted following tuesday ,change of date negative delivery punctuality negative , change of date negative
excellent price easy order organise fitting suit carmaster brilliant thank ,value for money positive ease of booking positive , ease of booking positive value for money positive
great service competitive prices definitely recommend ,value for money positive , value for money positive
excellent product service competitively priced ,tyre quality positive value for money positive , value for money positive
easy use service good value money compared high street however discount code allocated tires chose work checkout losing saving ,value for money positive discount not applied negative , value for money positive
choice price ,value for money positive , value for money positive
seamless purchase fitting ,garage service positive , garage service positive
easy arrange cheapest quote ,value for money positive ease of booking positive , value for money positive ease of booking positive
reg wrong size poor service reg wrong size went fitting told would taken wheel would minutes nothing customer service poor via email responded fed honest still paid tyre contacted get new one fitted ,garage service negative incorrect tyres sent negative advisoragent service negative , advisoragent service negative
excellent service recommend redacted tyres good value service ,value for money positive , value for money positive
excellent easy straightforward order tyres fitted also helpful change fitting time last minute use future ,advisor agent service positive garage service positive advisoragent service positive , garage service positive
says ready fit quite quickly price competitive even cheapest ,value for money negative wait time positive length of fitting negative , value for money positive
easy use good price ,value for money positive , value for money positive
prices competitive local redacted approved garage offers exceptional service recently ordered wrong size tyres redacted customer services brilliant mistake thoroughly recommend ,garage service positive value for money positive advisor agent service positive , value for money positive
good value simple use ,value for money positive , value for money positive
simple use website great prices good choice supplier ,value for money positive , value for money positive
good choice easy use great pricing ,value for money positive , value for money positive
good customer service despite refund due picking incorrect tyres ,advisoragent service positive refund negative , advisoragent service negative
normally problems redacted normally problems redacted would normally get stars last month however changed ordered two tyres hankook prime tyres fitted showed fuel rating wet grip noise rating ones ordered showed slight difference know buy particular tyres messaged bc responded quickly basically told wrong ones ordered ones fitted great response think twice next time ,incorrect tyres sent negative advisoragent service negative , advisoragent service negative
easy arrange ,ease of booking positive , ease of booking positive
site used numerous times get great rates tyres ,value for money positive , value for money positive
promised fitter good ,garage service positive , garage service positive
disappointing disappointed really wanted good experience heard much company good reviews ordered tyres good selection day turnaround advertised company went day fitting advised day contacted appointment sent told another week least get fitting good going holiday never managed go high street garage near office managed get exactly tyres price within hrs fit redacted think complete waste time ,change of date negative , discounts negative
quick get local garage fab ,garage service positive location positive , location positive
failed meet promised delivery date failed make revised delivery date ,delivery punctuality negative change of date negative , delivery punctuality negative change of date negative
good price able adjust fitting schedule ,value for money positive , value for money positive
would stars emails review ,advisoragent service negative , advisoragent service negative
good value excellent service ,value for money positive , value for money positive
great prices dealt redacted times never problems great prices service ,value for money positive , value for money positive
good selection tyres budget performance prices competitive fitting centres excellent honest try push unnecessary services like satisfied ,value for money positive delivery punctuality positive , value for money positive
good service easy use good value money ,value for money positive , value for money positive
easy easy process picked tyres wanted picked garage wanted fitted two days later turn done minutes perfect ,length of fitting positive ease of booking positive , ease of booking positive
good price tyres local garage fit ok could find locking wheel nut proper place car ,location positive damage negative , value for money positive location positive
good value easy arrangement ,value for money positive ease of booking positive , value for money positive ease of booking positive
saved fortune served quickly fantastic garage introduction amazing service ,wait time positive garage service positive value for money positive , value for money positive garage service positive
website easy negotiate order placed garage arranged done slick ,ease of booking positive , ease of booking positive
easy use choice local garages ,location positive ease of booking positive , location positive
got new back tyres went well fitting company great managed get redacted come forward fitting date helped appreciate ,change of date positive garage service positive , ease of booking positive
long garage took work ,garage service negative length of fitting negative , length of fitting negative
impressed came time fitted tyres quickly ,length of fitting positive , delivery punctuality positive
happy price service received ,value for money positive , value for money positive
easy order good price local fitting services near plus lifetime guarantee ,location positive value for money positive , location positive value for money positive
responsive customer service friendly professional installation chosen tyres stock got upgrade free would use ,advisor agent service positive garage service positive discounts positive , garage service negative
good value wide choice tyres booking easy fitting garage professional ,value for money positive ease of booking positive garage service positive , ease of booking positive value for money positive
good service tyres arrive allotted day return following day ,delivery punctuality negative , delivery punctuality negative
tires good value allowed choose variety send garage choice ,value for money positive , value for money positive
called garage day advance arranged appointment worried old tyre tyres ready fitted straight away ,garage service positive , delivery punctuality positive garage service positive
always excellent service easy use website ,garage service positive , garage service positive
great website easy use excellent value definitely use ,value for money positive , value for money positive
hassle free booking home good price fitted good time date required ,ease of booking positive value for money positive wait time positive , ease of booking positive value for money positive
good prices prompt fitment ,length of fitting positive value for money positive , value for money positive
replacing car coming garage bring ways garage take garage put back ,garage service negative , garage service negative
excellent easy use website local well known garage fitted tyres excellent job overall good experience definitely use recommend friends family ,garage service positive location positive , garage service positive location positive
easy web page good prices fast service ,value for money positive , value for money positive
valves said inclusive ,extra charges negative , garage service negative
experience great entirely satisfactory prices lower local dealers offering ,value for money positive , value for money positive
good service score told tyres delivered tyre fitting centre would arrange date however minutes scheduled time received call say could visit immediately fitting arrival told centre tyres day ,advisoragent service negative , change of date negative
good competitive price order placed needed rearrange fitting date call centre customer advisor helpful great customer service ,value for money positive advisoragent service positive , value for money positive advisoragent service positive
garage excellent smooth service thank ,garage service positive , garage service positive
far great value tyres buying ,value for money positive , value for money positive
found easy navigate website check compare tyres price tyres chose competitive included fitting etc time ordered till fitting everything went smoothly including choosing fitting site problems delivery fitting etc would recommend redacted anyone looking new tyres ,ease of booking positive value for money positive delivery punctuality positive , ease of booking positive value for money positive
great service great price easy start finish ,value for money positive , value for money positive
choosing tyres purchase value quality range give names tyre makes ,value for money positive , value for money positive
redacted easy deal send confirmation paperwork etc promptly also great value ,value for money positive , value for money positive
fitting date kept changing garage know coming go back home return hour later ,change of date negative , wait time negative
tyres delivered expected date mobile fitter come office put tyres sorted quickly reasonable price ,mobile fitter positive value for money positive delivery punctuality positive , delivery punctuality positive value for money positive
easy use website book locally good range prices ,location positive ease of booking positive value for money positive , ease of booking positive value for money positive
tyres price great fitting centre useless ,garage service negative value for money positive , value for money positive garage service negative
great fitter would recommend ,tyre quality positive garage service positive value for money positive , garage service positive
great prices great service ,value for money positive , value for money positive
superb service highly recommend offer great michelin tyre really easy book online pay online makes hassle free garage road convenient impressive thanks ,ease of booking positive garage service positive , ease of booking positive
polite nice customer service ,advisor agent service positive advisoragent service positive , advisoragent service positive
quick easy use garage selected time selected managed get day really helpfull recieved emails regards issue dealt quick effectively ,garage service positive booking confusion negative advisoragent service positive , ease of booking positive advisoragent service positive
good service good prices ,value for money positive , value for money positive
good tyres good price excellent service garage fitting ,value for money positive tyre quality positive garage service positive , value for money positive garage service positive
quick efficient service competitive prices ,value for money positive , value for money positive
great prices quick service ,value for money positive , value for money positive
convenient cheaper tyre shop could offer ,value for money positive , value for money positive
booking bit mess fitting great price competitive ,garage service positive garage service negative value for money positive , value for money positive ease of booking positive
good prices reliable service ,value for money positive , value for money positive
service received garage fitted tyres outstanding ,garage service positive , garage service positive
fair price easy order kept well informed fitting arranged locally ,value for money positive location positive , value for money positive location positive
wide range choice good price ,value for money positive , value for money positive
good prices tyres ,value for money positive , value for money positive
great choice tyres good price slight criticism fitting company said could sourced tyres price bargain convenient ,value for money negative , value for money positive
excellent price service ,value for money positive , value for money positive
excellent service top tyres bottom price used redacted many times never disappointed excellent thank ,tyre quality positive value for money positive , value for money positive
redacted found good efficient service redacted found good company michelin tyres choose cheaper site looked choosing garage fit tyres everything carried efficiently ,garage service positive value for money positive , value for money positive garage service positive
easy book best price garage fitted tyres within reasonable time frame ,value for money positive ease of booking positive , ease of booking positive value for money positive
convenient ats fit tyres prices competitive ,value for money positive , value for money positive
value money ease selecting product online arranging fitting hassle ,ease of booking positive value for money positive , ease of booking positive value for money positive
competitive price easy website good choice local garage fit efficient service ,location positive value for money positive , value for money positive location positive
dont bother fitting centre wasted time fit tyres ordered redacted customer care supposed call got touch customer care said would look issue get back ,advisoragent service negative response time negative garage service negative , advisoragent service negative
wait day person deliver fit tyres one called explain person late waited whole day call office told going fitted today told told fitted mine tomorrow however turn ,mobile fitter negative change of date negative delivery punctuality negative , change of date negative advisoragent service negative
good prices easy organise ,value for money positive ease of booking positive , ease of booking positive value for money positive
great service delivered time pleasant fitting partner reasonable price ,garage service positive value for money positive delivery punctuality positive , delivery punctuality positive value for money positive
easy book friendly competent service garage fitted new tyres best price could find ,ease of booking positive garage service positive value for money positive , ease of booking positive value for money positive
good selection tyres competitive prices trusted delivery date quality fitting agent good also ,mobile fitter positive value for money positive delivery punctuality positive , delivery punctuality positive value for money positive garage service positive
could leave would absolutely shocking paid tyres weeks ago got first fitting date got cancelled got second fitting date tyres even redacted black mark book ,delivery punctuality negative change of date negative ease of booking negative , change of date negative ease of booking negative
excellent service great price ideal location fitting ask ,location positive value for money positive , value for money positive location positive
good value easy use website good range local fitters ,value for money positive location positive , value for money positive location positive
good price everything happened planned ,value for money positive , value for money positive
great service price would recommend ,value for money positive , value for money positive
effortless order chosen tires fitted reasonable price ,value for money positive , value for money positive
competitive price wise completely pay garage hours week later need rebalancing ,value for money positive mobile fitter negative balancing negative , value for money positive
tyres fine time payment took hour use credit card mobile regularly carry similar continued fail long time ,failed payment negative tyre quality positive delivery punctuality positive , mobile fitter positive
problems used many times best deal around ,value for money positive , value for money positive
tyre arrived issues however selected garage fitted tyre left car wont come happy would use redacted give garage ats euromaster wide ,delivery punctuality positive damage negative garage service negative , garage service negative
new tyers easy booking process timed appointment kept work carried agreed price ,value for money positive ease of booking positive , ease of booking positive value for money positive
apart shop fitted replying redacted asking book time rearrange initial booking bc great sorting ,ease of booking negative advisoragent service positive , ease of booking negative
excellent service reliable good value money ,value for money positive , value for money positive
good price nice good people fitting tyres ,value for money positive garage service positive , value for money positive
good choice great price high quality service team motors first time using redacted impressed ,value for money positive garage service positive , value for money positive
quick delivery good choice appointments great communication kept date prior fitting ,advisor agent service positive delivery punctuality positive , delivery punctuality positive
great tyre good price little concerned recommended fitting centre although type centres tend slightly particularly one type first time experiences tyre fitting centres felt online tyre retailers need recommended fitting partners raise bar standards would wish experience ,garage service negative value for money positive , value for money positive garage service negative
dealers tyre size type match tyres car also offered best price ,value for money positive , value for money positive
reliable good quality tyres issues ,tyre quality positive value for money positive , tyre quality positive
really easy find choose tyres wanted ,ease of booking positive , ease of booking positive
good price ,value for money positive , value for money positive
excellent service value money ,value for money positive , value for money positive
price location choice done previous times right price right location choice tyre job done ,location positive value for money positive , value for money positive location positive
previously used redacted since search offers find cheaper tyres least info ratings etc excellent service otherwise easy arrange hassle ring round quotes fitting dates appointment set within hours went smooth clockwork ,ease of booking positive , ease of booking positive
like simple liked able choice wanted many options ,ease of booking positive , ease of booking positive
awesome price service awesome price excellent service fitted local tyre shop wait tyre come stock well worth wait customer life ,location positive no stock negative value for money positive , value for money positive location positive
point order garage fitting tyres everything went smoothly updates via email garage local less miles away fitted according allocated slot great ,advisor agent service positive location positive length of fitting positive , garage service positive location positive
easy book staff friendly got job done quickly definitely use redacted ,ease of booking positive length of fitting positive , ease of booking positive
first time used recommend local garage new area moved firstly price order including fitting pounds cheaper previous tyre fitting place used tyre booking slots arrange tyre delivered choice garage excellent process turned choice day time drove car waiting time unlike normally go tyre fitting centre ,ease of booking positive value for money positive wait time positive , ease of booking positive value for money positive location positive
good service appointment gave turned tyre services visit changed hands week redacted promptly rearranged another local fitter went smoothly ,change of date positive , delivery punctuality positive garage service positive
good price easy order ,value for money positive , value for money positive
easy use website excellent price choice garages use fitting ,value for money positive , value for money positive
book time redacted get fitting centre time available ,ease of booking negative , ease of booking positive
initial online booking original booking made online turned available garage booked next best available slot automatically arranged redacted kept well informed rest booking went without issues would recommend anyone certainly use ,ease of booking negative advisoragent service positive , ease of booking negative
redacted great delivered tyre ordered nearest garage fits garage damaged car thought people work car would know put pads putting car lift damage car ,damage negative location positive , garage service positive
good prices good service ,value for money positive , value for money positive
great short technical delay new tyres getting garage requested handled well redacted garage professional ,delivery punctuality positive garage service positive , delivery punctuality positive garage service positive
poor customer response time ,response time negative advisoragent service negative , refund negative
issue online process issue online selection pre purchase tyres booking wheel alignment tyre fitting centre damaged steering wheel alignment sorted currently still ,garage service negative ease of booking positive damage negative , garage service negative
website easy local fitting options ,location positive , location positive
excellent service price would recommend ,value for money positive , value for money positive
really straight forward easy understand first time ever bought tyres online really clear good recommendations garages ,ease of booking positive , ease of booking positive
easy purchase reasonable value money able book fitting slot mobile fitter excellent ,mobile fitter positive ease of booking positive value for money positive , ease of booking positive value for money positive
excellent price excellent service recommend ,value for money positive , value for money positive
like value money options get simple use ,value for money positive , value for money positive
exceptional service ordering fitting top class ,ease of booking positive garage service positive , ease of booking positive
tyres good value service local place taken car twice tyres fitted times slow job totally lacking customer communication ability ,value for money positive , value for money positive advisoragent service positive
easy use website good selection cheap tyres selected paid installed locally issues ever way thank much ,value for money positive location positive , value for money positive location positive
good price excellent tyre fitting centre ,value for money positive garage service positive , value for money positive garage service positive
delivered promised great local garage fitted tyre quickly prices keen cheers ,delivery punctuality positive location positive garage service positive , location positive delivery punctuality positive
bit wobble agreed time appointment ,booking confusion negative , change of date negative
whole process seamless prices reasonable ,value for money positive , value for money positive
already contacted redacted regarding poor experience received mails asking feedback clearly review message sent great experience today booked new pair rear tyres tesco bar hill arrived instructions say technician showed apology explanation gave keys said would take around half hour minutes later phoned say find locking nut explained still find went back car show stated time people stuff shown time extra minutes stuff finished whole process took hour received reminder text appointment already returned home go redacted happy bombarded reviewed ,length of fitting negative advisor agent service negative wait time negative , garage service negative wait time negative
booked slot could provide arrange makes bit online booking system ,ease of booking negative change of date negative , ease of booking negative
service excellent tyres actually wanted available ,no stock negative , garage service positive
fast fitting friendly staff second back ,length of fitting positive garage service positive , garage service positive
easy follow web site good selection tyres stock reasonable prices good explanation tyre spec local fitting garages well organised garage booking correct tyres fitted time within mins great job done ,location positive garage service positive value for money positive , location positive value for money positive length of fitting positive
great service tyres fitted great price would definitely buy tyres redacted ,value for money positive , value for money positive
great services good prices quick easy order line tyres delivered chosen fitting station time thank redacted ,delivery punctuality positive value for money positive , delivery punctuality positive value for money positive
great service friendly fitters arrived time great job ,mobile fitter positive wait time positive , length of fitting positive garage service positive
easy use website sensible pricing plenty choice availability fitter ,value for money positive garage service positive , ease of booking positive value for money positive
lots choice tyres site able choose fitter wanted tyres waiting fitters promised time slot given stuck cannot fault service far car running well four new tyres ,ease of booking positive delivery punctuality positive wait time positive , ease of booking positive
speed service huge choice products ,value for money positive , value for money positive
tyre depot knowledgeable ,garage service negative , garage service positive
easy order easy pay good price went easy garage ,value for money positive , value for money positive
good price quick efficient service thanks ,value for money positive , value for money positive
tires perfect service great would definitely use near future ,tyre quality positive , ease of booking positive
excellent service quick efficient good price ,value for money positive , value for money positive
booking changed slot pm fitter turned half number tyres ,tyres sent negative change of time negative ease of booking negative , ease of booking negative
cheapest price good service ,value for money positive , value for money positive
excellent service top range tyres cheap ,value for money positive tyre quality positive , value for money positive
hassle purchase installation delivery fitting date time agreed would definitely recommend use ,delivery punctuality positive garage service positive , delivery punctuality positive
easy order good value ,value for money positive , value for money positive
efficient online ordering service fitting partner used instance helpful felt like customers getting treatment purchased redacted rather direct fitting partner ,garage service negative , garage service positive
good value service ,value for money positive , value for money positive
buy online pick day time turn tyres fitted exactly says tin ,ease of booking positive , ease of booking positive
original appointment kept company question working least phone weekend arrange new appointment email monday morning wife phone fitting company arrange new appointment nothing ,advisoragent service negative response time negative , ease of booking negative change of date negative
great deal fitting centre excellent ,value for money positive garage service positive , garage service positive
used redacted number times past unfortunately best experience messed appointment time ruined plans day ,ease of booking negative , change of date negative
received email redacted pm day fitting stating tyres delivered gave opportunity cancel order day left going driving holiday next day happened email error tyres actually delivered signed still though therefore despite god price ,late notice negative garage service negative delivery punctuality negative , delivery punctuality negative change of date negative
garage redacted suggest absolutely terrible bad service took fit two tyres tried tyres brought size caps put cheap ill fitting caps got funny wanted back thanks redacted putting terrible service suggest actually looking garage ,length of fitting negative garage service negative wait time negative , extra charges negative garage service negative
best price tyre wanted fitted time place convenient excellent service ,location positive value for money positive wait time positive , value for money positive ease of booking positive
good service fair pricing good fitters ,garage service positive value for money positive , value for money positive
tyre really good everybody low noise great wet improved steering stay away winter tires ,tyre quality positive , tyre quality positive
responsive customer service gave full refund cancelled order ,refund positive response time positive , refund positive
smooth trouble free transaction fitting garage provided excellent service ,garage service positive , garage service positive
good experience able picked two good tyres happy people fitted time convenience booked garage system found order redacted system problem ,ease of booking positive , ease of booking positive
turned arranged exactly requested ,mobile fitter positive , ease of booking positive
faultless cost efficient process start finish ,value for money positive , value for money positive
quick value money service ,value for money positive , value for money positive
great service cheaper tyres go anyone else ,value for money positive , value for money positive
great service fantastic prices good fitting times would definitely use ,value for money positive , value for money positive
taken time booked job finished within minutes easy easy good value pleasant staff ,of booking positive length of fitting positive value for money positive , ease of booking positive value for money positive
great prices excellent service redacted motors great prices excellent service local garage ,value for money positive garage service positive location positive , value for money positive location positive
east order competitive pricing quick efficient service tyres fitted minutes would definitely use small gripe would waiting room nice place although fully aware garage ,value for money positive length of fitting positive , length of fitting positive value for money positive
first two bad reviews thing left review week badly let order half hour close business bank holiday weekend response somebody duly emailed apologise funny bit else along apology offered voucher discount future orders somebody called emailed response never got back chased days later nothing given original issue handling problem support team cannot even follow offer pathetic redacted sure could care less ,discounts negative response time negative late notice negative , change of date negative advisoragent service negative refund negative
excellent range easy find tyreseasy excellent range easy find tyres wanted got booked fitting time wanted use ,discounts positive , ease of booking positive
booked tyre went saturday morning get fitted find tyre email sent previous day say seen cancel order buy someone else ,late notice negative delivery punctuality negative , ease of booking negative change of date negative
easy arranged value money ,value for money positive ease of booking positive , value for money positive
good straightforward service good number fitting centres ,value for money positive , ease of booking positive
received excellent service friendly nonsense pleasure business ,garage service positive , garage service positive
good response order corrected error made mistake ,response time positive advisoragent service positive , advisoragent service positive
great way purchasing tyres get fitted straightforward ,ease of booking positive , ease of booking positive
price local service excellent ,location positive value for money positive , value for money positive location positive
excellent service choosing online booking fitting service excellent ats use ,ease of booking positive garage service positive , ease of booking positive
good value tyres delivered fitted time fitting marks alloys ,value for money positive delivery punctuality positive garage service negative , delivery punctuality positive value for money positive garage service positive
customer service poor took hours hanging phone get finance department took payment tyres times service ,call wait time negative advisor agent service negative extra charges negative , value for money negative
around new tyres redacted car details able provide great selection tyres budget high end selected tyres local garages offered extensive premium tyre fitted home initially told appointment booked longer available irritating par picking expecting one getting entirely another lady mailed tell could nicer appointment changed pm chap arrived time replace tyre called form outside get necessary called minutes later tell done absolutely fantastic service really pleasant people need another tyres soon using redacted ,mobile fitter positive , ease of booking positive value for money positive location positive
issues redacted garage allocated fit unable nuts take another garage fitted extra cost ,extra charges negative garage service negative , extra charges negative garage service negative
fast friendly competitive prices ,value for money positive , value for money positive
wanted good price simple procedure replace tyres ,garage service positive value for money positive , value for money positive
quick easy purchase appointment made local tyre depot day received excellent service tyres excellent value money ,value for money positive location positive , ease of booking positive value for money positive
excellent service redacted st ,garage service positive , garage service positive
tyres excellent service waiting around ,wait time positive , delivery punctuality positive
great price great service best price tyre easy straightforward transaction fitted time professionally ats reminders sent throughout process definitely use highly recommended ,value for money positive garage service positive , value for money positive garage service positive
great already got family buying local garage coming next tyre work ,value for money positive tyre quality positive location positive , location positive
nice simple booked taken local garage done hour ,location positive wait time positive , location positive ease of booking positive
easy webpage use garage good ,garage service positive , garage service positive
happy quick price less nut seems transparent choose ,value for money positive , value for money positive
excellent service operator friendly professional went way assist repair work ,garage service positive , garage service positive
great value easily accessible location results thank ,value for money positive , value for money positive
good price however strongly recommend phoning garage confirm order booked tyres delivered drop car first time arrived date time garage told redacted fully booked could fulfil request nobody told booked redacted mail confirmation turned garage received tyres finally got tyres fitted rd time asking ,delivery punctuality negative value for money positive change of date negative , delivery punctuality negative value for money positive
good price easy organise fitment ,ease of booking positive value for money positive , ease of booking positive value for money positive
great value money great service ,value for money positive , value for money positive
error tyre ordered two tyres got fitted one tyre start losing air got check found tiny tiny whole wall tyre done puncture anything buy another tyre spot ,tyre quality negative , tyre quality negative
excellent service paid extra tyres changed home worth saved lot hassle everything done quickly time highly recommend redacted ,value for money positive mobile fitter positive , value for money positive
third time used redacted replace tires cars value service first class used fitter literally minute drive home done quickly efficiently ,location positive length of fitting positive value for money positive , mobile fitter positive value for money positive
appointment fixed local garage tyres fitting paid line day appointment email bc asking phone told garage tyres cannot fit bc would try find another fitting garage get back another garage found would fit tyres original appointment time next day miles home collect tyres local garage transport car boot new garage next day achieved without problems received refund tyres trouble happy sure fault giving stars ,refund positive late notice negative , discounts negative
delivery issues garage redacted fitment issues lack paperwork easy order great talk tyres arrive garage time luckily garage used stock delivery delays unsure given tyre rating ordered paperwork provided job done wheel bolt snapped fitting purchase replacement garage fit free charge returned told ok drive car without shocking round trip day price great value garage partner give good impression ,value for money positive delivery punctuality negative damage negative , delivery punctuality negative value for money positive
ordering delivery quick efficient local garage fitted tyres negative tyre pressures inflated around ,delivery punctuality positive damage negative length of fitting positive , delivery punctuality positive garage service positive
yeah easy enough experience totally sold garage went ,garage service negative , garage service negative
great value great service ats ,value for money positive , value for money positive
excellent service quality usual excellent grip super quiet tyres especially price highly recommend redacted com ,value for money positive tyre quality positive , value for money positive
excellent service ordering tyres online used redacted past years always reliable local garage efficient fitting tyres quickly ,location positive length of fitting positive garage service positive , location positive garage service positive
extremely quick easy book online ats super quick friendly would definitely recommend ,ease of booking positive length of fitting positive garage service positive , ease of booking positive garage service positive
tyres time yes good product ,tyre quality positive , tyre quality positive
great service great price ,value for money positive , value for money positive
good choice tyres competative pricing give stars issue appointment time fitting informed fitting centre ,booking confusion negative value for money positive , value for money positive delivery punctuality negative
ordered two tyres initially bank holiday monday following day decided another two would good idea price increased tyre lot appreciated fitters village live usual good ,garage service positive , value for money positive
good service allowed book reputable garage tyres needed st reasonable price used redacted would definitely recommend using ,ease of booking positive tyre quality positive value for money positive , value for money positive ease of booking positive
cost service described problems ,value for money positive , value for money positive
great service redacted link partner garages ,garage service positive , garage service positive
clear concise easy use site ,ease of booking positive , ease of booking positive
easy select right tyres easy find fitter cannot match prices said fitter ,value for money positive ease of booking positive , value for money positive ease of booking positive
smooth process easy use website good value tyres good service garage ,value for money positive , value for money positive
service start finish exemplary ,garage service positive , ease of booking positive
completing order online simple easy however couple hours selecting local garage paying tyre received email saying garage chosen could tyre day even later week call reschedule put hassle back something supposed hassle free different fitting garage fantastic would select ,change of date negative , change of date negative
tyres arrived days excellent service local garage motors ,location positive garage service positive , delivery punctuality positive garage service positive
fast efficient accurate reasonable value money ,value for money positive , value for money positive
excellent service great value would recommend friends ,value for money positive , value for money positive
avon tyres really good price fitted really good garage miles home even got free coffee waited comfy air cafe ,location positive garage service positive value for money positive , location positive value for money positive garage service positive
garage used top notch ,garage service positive , garage service positive
good deal issues fitting ,value for money positive , value for money positive
good choice good price motors excellent fitting ,value for money positive garage service positive , value for money positive
new tyres installed st brought vehicle back fitting centre couple days later two tyres keep deflating fitting centre checked tyres could find puncture either tyres charge service tighten valves problem ever since response redacted com emailed clearly two tyres must faulty replaced hoping case customer services chance respond messages time tell ,tyre quality negative response time negative , tyre quality negative
tyres last minute multiple cancelled appointments email chain seems anyone redacted without actually anything staff really seem know going fitter damaging car gone quiet since normally leave review bad bombarded emails asking feedback need actually customers ,advisor agent service negative damage negative change of date negative , delivery punctuality negative garage service negative
easy book competitive price good service ,ease of booking positive value for money positive , value for money positive ease of booking positive
honest reliable hassle free good quality quick delivery ,tyre quality positive delivery punctuality positive , delivery punctuality positive
excellent service minute arrived cup coffee offered taken tyres changed without issue spare boot everything back manager friendly chap definitely use ,garage service positive facilities positive , garage service negative
tyres far great impressed redacted slick way website well getting delivered local garage fitting definately coming back ,location positive tyre quality positive , location positive ease of booking positive
waiting ats garage time pm appointment mind need minutes waited hour finally fitted tyres took another minutes bother appointment keep waiting almost hour ,wait time negative length of fitting negative garage service negative , mobile fitter negative
